Time	day	Plot	Subplot	Mass_g	Al_mg_L	Ca_mg_L	Cd_ppb	Co_ppb	Cr_ppb	Cu_ppb	Fe_mg_L	K_mg_L	Mg_mg_L	Mn_mg_L	Na_mg_L	Ni_ppb	P_mg_L	Pb_ppb	S_mg_L	Zn_ppb	tot_C_%	tot_N_%	C_N
T4	125	C2	7	29	5.496	16.04395	0.25865	0.7665	12.1815	10.685	1.3025	0.48505	1.052	0.5727	4.9055	6.6195	0.8102	4.0075	2.0665	49.01	40.14893	2.416099	16.61725
T4	125	C2	8	28.23	5.49	13.95395	0.09885	0.6517	10.7115	38.875	1.3885	0.53935	1.185	0.3926	3.6605	4.6715	0.7813	2.5385	1.9595	62.3	40.0532	2.157366	18.56579
T4	125	L1	9	30.11	4.887	17.29395	0.01785	0.7866	21.5615	83.875	1.8775	0.89495	2.292	1.6085	2.4665	11.1375	1.1935	3.2375	2.6335	95.15	42.29263	1.98971	21.25568
T4	125	L1	10	30.19	3.147	16.24395	0.10345	0.9133	8.4455	11.525	1.0295	0.58865	2.436	1.5485	1.2705	5.0055	0.7903	0.3485	1.7415	52.73	41.49925	2.039705	20.34571
T4	125	L1	11	30.24	2.606	15.75395	0.13055	0.6138	7.3245	67.545	0.683	0.56715	2.729	1.5595	2.0655	5.7075	0.7144	1.8965	1.5745	67.48	41.48098	1.808249	22.93986
T4	125	L1	12	31.6	7.805	22.79395	0.10025	0.3715	13.1415	27.635	1.1505	0.67255	3.346	2.1275	2.3435	7.4795	0.618	2.4365	2.7535	78.75	40.52767	2.138808	18.94872
T4	125	L2	13	30.18	7.63	14.56395	0.44405	1.1165	9.2915	11.375	1.3805	0.86905	2.614	0.2816	3.9215	6.7535	0.9574	3.2335	1.7545	78.09	40.86819	2.236706	18.2716
T4	125	L2	14	30.79	8.826	14.95395	0.42215	1.0875	14.0115	22.945	0.7448	0.61575	2.329	0.3254	4.8895	10.3375	0.7785	5.0735	2.4045	90.05	40.92703	1.899572	21.54539
T4	125	L2	15	31.73	5.566	15.74395	0	1.0505	15.4615	17.625	1.3745	0.90255	2.579	0.3264	1.2765	6.6155	1.1055	6.8625	2.9825	48.38	42.89964	2.261395	18.97043
T4	125	L2	16	29.77	9.785	12.80395	0.00105	1.4545	13.4515	23.195	1.5335	0.21815	1.874	0.3021	1.9585	20.5075	0.8561	3.7425	1.3615	102.05	39.90503	2.052067	19.44626
T5	157	C1	1	26.96	8.125	11.04395	0.07075	1.0175	13.5115	7.185	2.0775	0.34575	0.7574	0.3489	0.7517	6.9325	0.8915	4.6275	1.3775	98.65	43.40403	1.996584	21.73914
T5	157	C1	2	25.43	9.187	11.14395	0.00375	0.851	15.8715	15.915	2.6605	0.32435	0.8304	0.3155	1.5235	6.8735	0.9221	5.7275	1.0615	61.78	42.83334	1.836592	23.32218
T5	157	C1	3	23.43	7.008	15.31395	0	0.728	16.9015	3.585	2.0435	0.53645	1.352	0.5605	3.6725	6.9165	1.1185	3.6475	2.2245	47.11	39.43916	1.910349	20.645
T5	157	C1	4	23.26	4.965	13.48395	0.00165	0.5752	9.3815	0	1.4905	0.44035	1.258	0.5182	1.3225	4.3695	0.8367	3.7865	2.1485	45.65	40.55087	1.956626	20.7249
T5	157	C2	5	23.76	6.795	13.01395	0.33025	0.9515	17.0415	5.425	1.3865	0.50285	1.83	0.3033	3.4835	12.8275	0.8901	5.4915	2.4865	60.41	43.14753	2.056268	20.98342
T5	157	C2	6	23.54	4.363	15.13395	0.09855	0.6752	14.6415	2.575	0.583	0.19155	2.24	0.3534	0.9135	8.9275	0.7961	3.3275	1.6585	44.09	41.45908	2.079825	19.93393
T5	157	C2	7	27.49	6.782	11.39395	0.01515	0.9188	8.8615	7.275	1.0835	0.11175	1.328	0.2123	4.4535	2.8645	0.5318	6.3965	0.9805	68.79	41.32277	2.218014	18.63053
T5	157	C2	8	26.14	5.894	10.26395	0.01385	0.8549	8.5525	0	1.1045	0.37155	1.457	0.2492	1.6145	4.2755	0.6068	2.9275	1.6675	43.39	41.93811	2.184827	19.19516
T5	157	L1	9	28.94	3.424	24.86395	0.76655	0.71	10.8615	3.465	1.0585	0.73475	3.979	2.2315	3.8795	10.0075	1.2905	6.2415	3.0685	110.15	40.68953	2.026423	20.07948
